,Price,Close,High,Low,Open,Volume,Media_Movel,Variação_Percentual
0,Ticker,,TSLA,TSLA,TSLA,TSLA,,
1,Date,,,,,,,
2,2024-08-13,207.8300018310547,208.49000549316406,197.05999755859375,198.47000122070312,76247400,,
3,2024-08-14,201.3800048828125,208.44000244140625,198.75,207.38999938964844,70250000,,-3.10349655555765
4,2024-08-15,214.13999938964844,215.8800048828125,204.82000732421875,205.02000427246094,89848500,,6.336276788880446
5,2024-08-16,216.1199951171875,219.8000030517578,210.8000030517578,211.14999389648438,88765100,,0.9246267550119258
6,2024-08-19,222.72000122070312,222.97999572753906,214.08999633789062,217.07000732421875,76435200,,3.0538618603692225
7,2024-08-20,221.1000061035156,228.22000122070312,219.55999755859375,224.8800048828125,74001200,,-0.7273684933138069
8,2024-08-21,223.2700042724609,224.66000366210938,218.86000061035156,222.6699981689453,70146000,215.22285897391183,0.9814554993405888
9,2024-08-22,210.66000366210935,224.8000030517578,210.32000732421875,223.82000732421875,79514500,215.62714494977678,-5.6478704568676985
10,2024-08-23,220.32000732421875,221.47999572753906,214.2100067138672,214.4600067138672,81525200,218.3328595842634,4.58558981020607
11,2024-08-26,213.2100067138672,219.08999633789062,211.00999450683594,218.75,59301200,218.20000348772322,-3.2271243527550397
12,2024-08-27,209.2100067138672,215.66000366210938,206.94000244140625,213.25,62821400,217.2128622872489,-1.8760845523390857
13,2024-08-28,205.75,211.83999633789062,202.58999633789062,209.72000122070312,64116400,214.78857639857702,-1.653843794670573
14,2024-08-29,206.27999877929688,214.88999938964844,205.97000122070312,209.8000030517578,62308800,212.6714324951172,0.2575935743848623
15,2024-08-30,214.1100006103516,214.57000732421875,207.02999877929688,208.6300048828125,63370600,211.36286054338728,3.795812428442069
16,2024-09-03,210.6000061035156,219.89999389648438,209.63999938964844,215.25999450683594,76714200,211.35428946358817,-1.6393416920415849
17,2024-09-04,219.41000366210935,222.22000122070312,210.57000732421875,210.58999633789062,80651800,211.2242889404297,4.183284569452206
18,2024-09-05,230.1699981689453,235.0,222.25,223.49000549316406,119355000,213.6471448625837,4.904058305110981
19,2024-09-06,210.72999572753903,233.60000610351562,210.50999450683594,232.60000610351562,112177000,213.86428615025108,-8.445932396079382
20,2024-09-09,216.2700042724609,219.8699951171875,213.6699981689453,216.1999969482422,67443500,215.36714390345978,2.6289605928169646
21,2024-09-10,226.1699981689453,226.39999389648438,218.63999938964844,220.07000732421875,78891100,218.20857238769528,4.577608406578748
22,2024-09-11,228.1300048828125,228.47000122070312,216.8000030517578,224.5500030517578,83548600,220.21143014090399,0.8666077418469476
23,2024-09-12,229.80999755859372,231.4499969482422,223.8300018310547,224.66000366210938,72020000,222.95571463448658,0.7364189890953776
24,2024-09-13,230.2899932861328,232.6699981689453,226.32000732421875,228.0,59515100,224.50999886648995,0.20886633855723424
25,2024-09-16,226.77999877929688,229.9600067138672,223.52999877929688,229.3000030517578,54323000,224.02571323939733,-1.5241628421408637
26,2024-09-17,227.8699951171875,234.57000732421875,226.5500030517578,229.4499969482422,66761600,226.47428458077567,0.4806404196833203
27,2024-09-18,227.1999969482422,235.67999267578125,226.8800048828125,230.08999633789062,78010200,228.03571210588728,-0.2940264990135111
28,2024-09-19,243.9199981689453,244.24000549316406,232.1300048828125,234.0,102694600,230.57142639160156,7.359155565707187
29,2024-09-20,238.25,243.99000549316406,235.9199981689453,241.52000427246094,99879100,232.0171399797712,-2.324531900421767
30,2024-09-23,250.0,250.0,241.9199981689453,242.61000061035156,86927200,234.90142604282923,4.931794333683115
31,2024-09-24,254.2700042724609,257.19000244140625,249.0500030517578,254.0800018310547,88491000,238.32714189801897,1.7080017089843746
32,2024-09-25,257.0199890136719,257.04998779296875,252.27999877929688,252.5399932861328,65034300,242.6471405029297,1.081521490936166
33,2024-09-26,254.22000122070312,261.75,251.52999877929688,260.6000061035156,67142200,246.4114270891462,-1.089404681602335
34,2024-09-27,260.4599914550781,260.70001220703125,254.1199951171875,257.3800048828125,70988100,251.16285487583704,2.4545630573566513
35,2024-09-30,261.6300048828125,264.8599853515625,255.77000427246094,259.0400085449219,80705700,253.69285583496094,0.4492104223754234
36,2024-10-01,258.0199890136719,263.9800109863281,248.52999877929688,262.6700134277344,87397600,256.51713997977123,-1.3798172234708361
37,2024-10-02,249.0200042724609,251.16000366210938,241.5,247.5500030517578,93983900,256.3771405901228,-3.488095932262858
38,2024-10-03,240.66000366210935,249.7899932861328,237.80999755859375,244.47999572753906,80729200,254.43285478864397,-3.357160254966751
39,2024-10-04,250.0800018310547,250.9600067138672,244.5800018310547,246.69000244140625,86573200,253.4414280482701,3.914235030998836
40,2024-10-07,240.8300018310547,249.8300018310547,240.6999969482422,249.0,68113300,251.52857099260603,-3.698816351676526
41,2024-10-08,244.5,246.2100067138672,240.55999755859375,243.55999755859375,56303200,249.24857221330916,1.5238957526229946
42,2024-10-09,241.0500030517578,247.42999267578125,239.50999450683594,243.82000732421875,66289500,246.3085719517299,-1.4110416966225725
43,2024-10-10,238.7700042724609,242.7899932861328,232.33999633789062,241.80999755859375,83087100,243.55857413155692,-0.9458613360014523
44,2024-10-11,217.8000030517578,223.33999633789062,214.3800048828125,220.1300048828125,142628900,239.09857395717077,-8.782510719719294
45,2024-10-14,219.16000366210935,221.91000366210938,213.74000549316406,220.1300048828125,86291900,236.0271453857422,0.6244263504570968
46,2024-10-15,219.57000732421875,224.25999450683594,217.1199951171875,220.00999450683594,62988800,231.6685747419085,0.18707960177877236
47,2024-10-16,221.3300018310547,222.82000732421875,218.92999267578125,221.39999389648438,49632800,228.8828604561942,0.8015641700267029
48,2024-10-17,220.88999938964844,222.0800018310547,217.89999389648438,221.58999633789062,50791800,225.51000322614397,-0.1987992760882462
49,2024-10-18,220.6999969482422,222.27999877929688,219.22999572753906,220.7100067138672,49611900,222.6028594970703,-0.08601676940163117
50,2024-10-21,218.8500061035156,220.47999572753906,215.72999572753906,218.89999389648438,47329000,219.75714547293524,-0.8382378207102748
51,2024-10-22,217.97000122070312,218.22000122070312,215.25999450683594,217.30999755859375,43268700,219.7814309256417,-0.4021041161845984
52,2024-10-23,213.6499938964844,218.72000122070312,212.11000061035156,217.1300048828125,80938900,218.9942866734096,-1.9819274670942244
53,2024-10-24,260.4800109863281,262.1199951171875,242.64999389648438,244.67999267578125,204491900,224.8385729108538,21.919035070290406
